station_name,planned_line,earliest_opening_year,notes
ADMIRALTY,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
AIRPORT,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
ALJUNIED,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
ANG MO KIO,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BEDOK,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BISHAN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BOON KENG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BOON LAY,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BRADDELL,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BUANGKOK,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BUGIS,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BUKIT BATOK,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BUKIT GOMBAK,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
BUONA VISTA,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
CHINATOWN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
CHINESE GARDEN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
CHOA CHU KANG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
CITY HALL,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
CLARKE QUAY,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
CLEMENTI,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
COMMONWEALTH,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
DHOBY GHAUT,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
DOVER,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
EUNOS,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
EXPO,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
FARRER,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
HARBOURFRONT,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
HOUGANG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
JURONG EAST,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
KALLANG,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
KEMBANGAN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
KHATIB,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
KOVAN,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
KRANJI,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
LAKESIDE,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
LAVENDER,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
LITTLE INDIA,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
MARINA BAY,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
MARSILING,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
NEWTON,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
NOVENA,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
ORCHARD,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
OUTRAM PARK,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
PASIR RIS,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
PAYA LEBAR,,,Official URA Master Plan 2003 MRT Name annotation dataset (d_dbc192abee39f51efecc0adbe9f1a75d)
