project_name,town,flat_type,flat_model,lease_commence_date
BTO 2008,Punggol,2-ROOM,MODEL A,2008
BTO 2008,Punggol,3-ROOM,MODEL A,2008
BTO 2008,Punggol,4-ROOM,MODEL A,2008
BTO 2008,Punggol,5-ROOM,MODEL A,2008
BTO 2008,Jurong West,3-ROOM,MODEL A,2008
BTO 2008,Jurong West,4-ROOM,MODEL A,2008
BTO 2008,Jurong West,5-ROOM,MODEL A,2008
BTO 2008,Bukit Panjang,2-ROOM,MODEL A,2008
BTO 2008,Bukit Panjang,3-ROOM,MODEL A,2008
BTO 2008,Bukit Panjang,4-ROOM,MODEL A,2008
BTO 2008,Woodlands,3-ROOM,MODEL A,2008
BTO 2008,Woodlands,4-ROOM,MODEL A,2008
BTO 2008,Woodlands,5-ROOM,MODEL A,2008
BTO 2008,Sengkang,2-ROOM,MODEL A,2008
BTO 2008,Sengkang,3-ROOM,MODEL A,2008
BTO 2008,Sengkang,4-ROOM,MODEL A,2008
BTO 2008,Sengkang,5-ROOM,MODEL A,2008
BTO 2009,Punggol,2-ROOM,MODEL A,2009
BTO 2009,Punggol,3-ROOM,MODEL A,2009
BTO 2009,Punggol,4-ROOM,MODEL A,2009
BTO 2009,Punggol,5-ROOM,MODEL A,2009
BTO 2009,Jurong West,2-ROOM,MODEL A,2009
BTO 2009,Jurong West,3-ROOM,MODEL A,2009
BTO 2009,Jurong West,4-ROOM,MODEL A,2009
BTO 2009,Choa Chu Kang,2-ROOM,MODEL A,2009
BTO 2009,Choa Chu Kang,3-ROOM,MODEL A,2009
BTO 2009,Choa Chu Kang,4-ROOM,MODEL A,2009
BTO 2009,Bukit Panjang,2-ROOM,MODEL A,2009
BTO 2009,Bukit Panjang,3-ROOM,MODEL A,2009
BTO 2009,Bukit Panjang,4-ROOM,MODEL A,2009
BTO 2009,Woodlands,3-ROOM,MODEL A,2009
BTO 2009,Woodlands,4-ROOM,MODEL A,2009
BTO 2009,Sengkang,2-ROOM,MODEL A,2009
BTO 2009,Sengkang,3-ROOM,MODEL A,2009
BTO 2009,Sengkang,4-ROOM,MODEL A,2009
BTO 2009,Sengkang,5-ROOM,MODEL A,2009
BTO 2010,Punggol,3-ROOM,MODEL A,2010
BTO 2010,Punggol,4-ROOM,MODEL A,2010
BTO 2010,Punggol,5-ROOM,MODEL A,2010
BTO 2010,Jurong West,3-ROOM,MODEL A,2010
BTO 2010,Jurong West,4-ROOM,MODEL A,2010
BTO 2010,Jurong West,5-ROOM,MODEL A,2010
BTO 2010,Bukit Panjang,2-ROOM,MODEL A,2010
BTO 2010,Bukit Panjang,3-ROOM,MODEL A,2010
