station_name,to_cbd_median_travel_min,to_cbd_min_travel_min,to_cbd_avg_route_km,route_eval_date,route_eval_time,source
LITTLE INDIA,11.88,11.17,3.346,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
TELOK AYER,10.03,7.88,1.183,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
DOWNTOWN,8.55,6.25,1.473,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
CHINATOWN,11.72,11.48,1.843,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
RAFFLES PLACE,1.82,0.0,0.69,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
DHOBY GHAUT,5.53,3.65,2.173,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
SOMERSET,8.05,6.17,3.023,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
BUGIS,4.73,2.83,2.097,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
BAYFRONT,11.13,2.9,1.805,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
MARINA BAY,2.05,0.0,1.007,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
CLARKE QUAY,15.03,9.37,2.009,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
FARRER PARK,13.9,12.02,4.186,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
CITY HALL,1.82,0.0,1.045,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
ESPLANADE,9.87,6.3,1.751,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
TANJONG PAGAR,3.83,1.97,1.852,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
BRAS BASAH,11.32,7.12,1.861,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
OUTRAM PARK,12.42,10.55,3.247,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
ORCHARD,6.92,5.03,3.841,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
PROMENADE,8.58,5.55,2.318,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
SHENTON WAY,11.13,10.62,1.401,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
NEWTON,10.97,9.08,5.212,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
PAYA LEBAR,13.88,11.98,6.922,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
NONE,15.35,13.45,6.843,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
BENCOOLEN,13.18,5.87,2.488,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
GREAT WORLD,17.77,16.62,4.501,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
FORT CANNING,11.17,9.85,2.495,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
JALAN BESAR,13.55,13.02,2.796,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
MARINA SOUTH,12.17,10.75,2.804,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
MARINA PIER,3.95,2.53,2.287,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
GARDENS BY THE BAY,16.77,13.7,5.161,04-27-2026,08:30:00,"OneMap Routing API (routeType=pt, mode=TRANSIT)"
