town,planning_area,region_ocr
ANG MO KIO,Ang Mo Kio,OCR
BEDOK,Bedok,OCR
BISHAN,Bishan,CCR
BUKIT BATOK,Bukit Batok,OCR
BUKIT MERAH,Bukit Merah,OCR
BUKIT PANJANG,Bukit Panjang,OCR
BUKIT TIMAH,Bukit Timah,CCR
CENTRAL,Central Area,CCR
CLEMENTI,Clementi,OCR
GEYLANG,Geylang,RCR
HOUGANG,Hougang,OCR
JURONG EAST,Jurong East,OCR
JURONG WEST,Jurong West,OCR
KALLANG,Kallang,RCR
MARINE PARADE,Marine Parade,RCR
PASIR RIS,Pasir Ris,OCR
PUNGGOL,Punggol,OCR
QUEENSTOWN,Queenstown,CCR
SENGKANG,Sengkang,OCR
SERANGOON,Serangoon,OCR
TAMPINES,Tampines,OCR
TOA PAYOH,Toa Payoh,RCR
WOODLANDS,Woodlands,OCR
YISHUN,Yishun,OCR
SEMBAWANG,Sembawang,OCR
CHOA CHU KANG,Choa Chu Kang,OCR
WEST COAST,West Coast,OCR
